rank,county,area,density,province
1,Cork,7500,72.3,Munster
2,Galway,6149,42,Connacht
3,Mayo,5586,23.3,Connacht
4,Donegal,4861,32.6,Ulster
5,Kerry,4807,30.7,Munster
6,Tipperary,4305,37.2,Munster
7,Clare,3450,34.4,Munster
8,Tyrone,3263,54.5,Ulster
9,Antrim,3046,202.9,Ulster
10,Limerick,2756,70.8,Munster
11,Roscommon,2548,25.3,Connacht
12,Down,2466,215.6,Ulster
13,Wexford,2367,63.2,Leinster
14,Meath,2342,83.2,Leinster
15,Londonderry,2075,119.1,Ulster
16,Kilkenny,2073,47.8,Leinster
17,Wicklow,2027,70.2,Leinster
18,Offaly,2001,38.9,Leinster
19,Cavan,1932,39.3,Ulster
20,Waterford,1857,62.7,Munster
21,Westmeath,1840,48.2,Leinster
22,Sligo,1838,35.5,Connacht
23,Laois,1720,49.3,Leinster
24,Kildare,1695,131,Leinster
25,Fermanagh,1691,36.1,Ulster
26,Leitrim,1590,20.1,Connacht
27,Armagh,1326,131.8,Ulster
28,Monaghan,1295,47.3,Ulster
29,Longford,1091,37.4,Leinster
30,Dublin,922,"1,459.20",Leinster
31,Carlow,897,63.4,Leinster
32,Louth,826,155.4,Leinster
