Statistic,Garda Station,Type of Offence,UNIT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Recorded Crime Offences Under Reservation,"35301 Abbeyfeale, Limerick Division","Attempts/threats to murder, assaults, harassments and related offences",Number,18,25,38,25,41,46,45,22,28,45,22,19,19,14,12,20,20
Recorded Crime Offences Under Reservation,"35301 Abbeyfeale, Limerick Division",Dangerous or negligent acts,Number,14,12,19,26,15,16,12,20,6,6,7,9,9,6,10,11,21
Recorded Crime Offences Under Reservation,"35301 Abbeyfeale, Limerick Division",Kidnapping and related offences,Number,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Recorded Crime Offences Under Reservation,"35301 Abbeyfeale, Limerick Division","Robbery, extortion and hijacking offences",Number,0,0,1,0,0,3,2,0,0,0,1,0,0,1,1,0,0
Recorded Crime Offences Under Reservation,"35301 Abbeyfeale, Limerick Division",Burglary and related offences,Number,27,21,24,33,28,28,30,25,19,16,30,36,27,15,14,23,23
Recorded Crime Offences Under Reservation,"35301 Abbeyfeale, Limerick Division",Theft and related offences,Number,20,15,28,48,43,42,105,46,64,52,49,67,49,46,36,33,47
Recorded Crime Offences Under Reservation,"35301 Abbeyfeale, Limerick Division","Fraud, deception and related offences",Number,0,4,4,4,5,6,5,3,4,5,6,7,5,3,1,2,7
Recorded Crime Offences Under Reservation,"35301 Abbeyfeale, Limerick Division",Controlled drug offences,Number,2,6,1,2,6,15,8,5,9,4,6,4,10,13,8,9,11
Recorded Crime Offences Under Reservation,"35301 Abbeyfeale, Limerick Division",Weapons and Explosives Offences,Number,2,2,2,4,1,3,9,4,3,0,0,5,5,4,2,2,2
Recorded Crime Offences Under Reservation,"35301 Abbeyfeale, Limerick Division",Damage to property and to the environment,Number,13,16,21,43,42,55,96,43,37,55,43,20,25,22,26,14,17
Recorded Crime Offences Under Reservation,"35301 Abbeyfeale, Limerick Division",Public order and other social code offences,Number,17,24,43,42,35,60,43,43,41,67,50,30,33,31,34,29,19
Recorded Crime Offences Under Reservation,"35301 Abbeyfeale, Limerick Division","Offences against government, justice procedures and organisation of crime",Number,5,1,9,1,1,2,11,15,5,7,7,3,0,15,4,7,7
Recorded Crime Offences Under Reservation,"41201 Abbeyleix, Laois/Offaly Division","Attempts/threats to murder, assaults, harassments and related offences",Number,14,9,12,14,12,31,24,20,15,17,13,12,13,22,11,13,16
Recorded Crime Offences Under Reservation,"41201 Abbeyleix, Laois/Offaly Division",Dangerous or negligent acts,Number,23,24,35,38,32,37,21,23,5,6,11,11,8,7,9,14,14
Recorded Crime Offences Under Reservation,"41201 Abbeyleix, Laois/Offaly Division",Kidnapping and related offences,Number,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"41201 Abbeyleix, Laois/Offaly Division","Robbery, extortion and hijacking offences",Number,0,0,0,1,1,0,0,0,0,2,0,2,0,1,1,1,0
Recorded Crime Offences Under Reservation,"41201 Abbeyleix, Laois/Offaly Division",Burglary and related offences,Number,29,26,34,43,35,27,32,13,43,47,56,53,53,29,20,25,16
Recorded Crime Offences Under Reservation,"41201 Abbeyleix, Laois/Offaly Division",Theft and related offences,Number,41,46,69,46,73,74,129,80,76,56,55,68,53,36,18,30,40
Recorded Crime Offences Under Reservation,"41201 Abbeyleix, Laois/Offaly Division","Fraud, deception and related offences",Number,1,0,0,2,6,6,1,6,7,3,4,0,8,4,5,4,5
Recorded Crime Offences Under Reservation,"41201 Abbeyleix, Laois/Offaly Division",Controlled drug offences,Number,11,1,12,12,17,17,11,16,9,4,2,4,9,14,9,14,10
Recorded Crime Offences Under Reservation,"41201 Abbeyleix, Laois/Offaly Division",Weapons and Explosives Offences,Number,2,0,3,3,3,3,2,2,1,0,1,0,0,2,2,2,2
Recorded Crime Offences Under Reservation,"41201 Abbeyleix, Laois/Offaly Division",Damage to property and to the environment,Number,18,20,15,39,30,34,61,27,54,29,19,17,19,19,3,13,14
Recorded Crime Offences Under Reservation,"41201 Abbeyleix, Laois/Offaly Division",Public order and other social code offences,Number,18,16,47,24,32,46,49,31,22,22,12,21,16,16,9,11,16
Recorded Crime Offences Under Reservation,"41201 Abbeyleix, Laois/Offaly Division","Offences against government, justice procedures and organisation of crime",Number,2,1,1,1,4,2,1,0,0,6,3,2,5,2,2,2,1
Recorded Crime Offences Under Reservation,"35302 Adare, Limerick Division","Attempts/threats to murder, assaults, harassments and related offences",Number,7,1,3,0,6,4,3,3,6,6,3,1,4,5,4,6,3
Recorded Crime Offences Under Reservation,"35302 Adare, Limerick Division",Dangerous or negligent acts,Number,6,11,14,16,13,11,12,6,4,6,5,4,7,7,8,7,6
Recorded Crime Offences Under Reservation,"35302 Adare, Limerick Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"35302 Adare, Limerick Division","Robbery, extortion and hijacking offences",Number,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1
