Statistic,County,Sex,UNIT,year,counts
Population at Each Census 1841 to 2016,State,Both sexes,Number,1841,6528799
Population at Each Census 1841 to 2016,State,Male,Number,1841,3222485
Population at Each Census 1841 to 2016,State,Female,Number,1841,3306314
Population at Each Census 1841 to 2016,Carlow,Both sexes,Number,1841,86228
Population at Each Census 1841 to 2016,Carlow,Male,Number,1841,42428
Population at Each Census 1841 to 2016,Carlow,Female,Number,1841,43800
Population at Each Census 1841 to 2016,Dublin,Both sexes,Number,1841,372773
Population at Each Census 1841 to 2016,Dublin,Male,Number,1841,170930
Population at Each Census 1841 to 2016,Dublin,Female,Number,1841,201843
Population at Each Census 1841 to 2016,Kildare,Both sexes,Number,1841,114488
Population at Each Census 1841 to 2016,Kildare,Male,Number,1841,58030
Population at Each Census 1841 to 2016,Kildare,Female,Number,1841,56458
Population at Each Census 1841 to 2016,Kilkenny,Both sexes,Number,1841,202420
Population at Each Census 1841 to 2016,Kilkenny,Male,Number,1841,99114
Population at Each Census 1841 to 2016,Kilkenny,Female,Number,1841,103306
Population at Each Census 1841 to 2016,Laois,Both sexes,Number,1841,153930
Population at Each Census 1841 to 2016,Laois,Male,Number,1841,76403
Population at Each Census 1841 to 2016,Laois,Female,Number,1841,77527
Population at Each Census 1841 to 2016,Longford,Both sexes,Number,1841,115491
Population at Each Census 1841 to 2016,Longford,Male,Number,1841,57610
Population at Each Census 1841 to 2016,Longford,Female,Number,1841,57881
Population at Each Census 1841 to 2016,Louth,Both sexes,Number,1841,128240
Population at Each Census 1841 to 2016,Louth,Male,Number,1841,62297
Population at Each Census 1841 to 2016,Louth,Female,Number,1841,65943
Population at Each Census 1841 to 2016,Meath,Both sexes,Number,1841,183828
Population at Each Census 1841 to 2016,Meath,Male,Number,1841,92494
Population at Each Census 1841 to 2016,Meath,Female,Number,1841,91334
Population at Each Census 1841 to 2016,Offaly,Both sexes,Number,1841,146857
Population at Each Census 1841 to 2016,Offaly,Male,Number,1841,72651
Population at Each Census 1841 to 2016,Offaly,Female,Number,1841,74206
Population at Each Census 1841 to 2016,Westmeath,Both sexes,Number,1841,141300
Population at Each Census 1841 to 2016,Westmeath,Male,Number,1841,70383
Population at Each Census 1841 to 2016,Westmeath,Female,Number,1841,70917
Population at Each Census 1841 to 2016,Wexford,Both sexes,Number,1841,202033
Population at Each Census 1841 to 2016,Wexford,Male,Number,1841,97918
Population at Each Census 1841 to 2016,Wexford,Female,Number,1841,104115
Population at Each Census 1841 to 2016,Wicklow,Both sexes,Number,1841,126143
Population at Each Census 1841 to 2016,Wicklow,Male,Number,1841,63489
Population at Each Census 1841 to 2016,Wicklow,Female,Number,1841,62654
Population at Each Census 1841 to 2016,Clare,Both sexes,Number,1841,286394
Population at Each Census 1841 to 2016,Clare,Male,Number,1841,144109
Population at Each Census 1841 to 2016,Clare,Female,Number,1841,142285
Population at Each Census 1841 to 2016,Cork,Both sexes,Number,1841,854118
Population at Each Census 1841 to 2016,Cork,Male,Number,1841,420551
Population at Each Census 1841 to 2016,Cork,Female,Number,1841,433567
Population at Each Census 1841 to 2016,Kerry,Both sexes,Number,1841,293880
Population at Each Census 1841 to 2016,Kerry,Male,Number,1841,147307
Population at Each Census 1841 to 2016,Kerry,Female,Number,1841,146573
Population at Each Census 1841 to 2016,Limerick,Both sexes,Number,1841,330029
Population at Each Census 1841 to 2016,Limerick,Male,Number,1841,161997
Population at Each Census 1841 to 2016,Limerick,Female,Number,1841,168032
Population at Each Census 1841 to 2016,Tipperary,Both sexes,Number,1841,435553
Population at Each Census 1841 to 2016,Tipperary,Male,Number,1841,216650
Population at Each Census 1841 to 2016,Tipperary,Female,Number,1841,218903
Population at Each Census 1841 to 2016,Waterford,Both sexes,Number,1841,196187
Population at Each Census 1841 to 2016,Waterford,Male,Number,1841,95576
Population at Each Census 1841 to 2016,Waterford,Female,Number,1841,100611
Population at Each Census 1841 to 2016,Galway,Both sexes,Number,1841,440198
Population at Each Census 1841 to 2016,Galway,Male,Number,1841,219564
Population at Each Census 1841 to 2016,Galway,Female,Number,1841,220634
Population at Each Census 1841 to 2016,Leitrim,Both sexes,Number,1841,155297
Population at Each Census 1841 to 2016,Leitrim,Male,Number,1841,77501
Population at Each Census 1841 to 2016,Leitrim,Female,Number,1841,77796
Population at Each Census 1841 to 2016,Mayo,Both sexes,Number,1841,388887
Population at Each Census 1841 to 2016,Mayo,Male,Number,1841,194198
Population at Each Census 1841 to 2016,Mayo,Female,Number,1841,194689
Population at Each Census 1841 to 2016,Roscommon,Both sexes,Number,1841,253591
Population at Each Census 1841 to 2016,Roscommon,Male,Number,1841,127016
Population at Each Census 1841 to 2016,Roscommon,Female,Number,1841,126575
Population at Each Census 1841 to 2016,Sligo,Both sexes,Number,1841,180886
Population at Each Census 1841 to 2016,Sligo,Male,Number,1841,89563
Population at Each Census 1841 to 2016,Sligo,Female,Number,1841,91323
Population at Each Census 1841 to 2016,Cavan,Both sexes,Number,1841,243158
Population at Each Census 1841 to 2016,Cavan,Male,Number,1841,120814
Population at Each Census 1841 to 2016,Cavan,Female,Number,1841,122344
Population at Each Census 1841 to 2016,Donegal,Both sexes,Number,1841,296448
Population at Each Census 1841 to 2016,Donegal,Male,Number,1841,145821
Population at Each Census 1841 to 2016,Donegal,Female,Number,1841,150627
Population at Each Census 1841 to 2016,Monaghan,Both sexes,Number,1841,200442
Population at Each Census 1841 to 2016,Monaghan,Male,Number,1841,98071
Population at Each Census 1841 to 2016,Monaghan,Female,Number,1841,102371
Population at Each Census 1841 to 2016,State,Both sexes,Number,1851,5111557
Population at Each Census 1841 to 2016,State,Male,Number,1851,2494478
Population at Each Census 1841 to 2016,State,Female,Number,1851,2617079
Population at Each Census 1841 to 2016,Carlow,Both sexes,Number,1851,68078
Population at Each Census 1841 to 2016,Carlow,Male,Number,1851,33016
Population at Each Census 1841 to 2016,Carlow,Female,Number,1851,35062
Population at Each Census 1841 to 2016,Dublin,Both sexes,Number,1851,405147
Population at Each Census 1841 to 2016,Dublin,Male,Number,1851,187286
Population at Each Census 1841 to 2016,Dublin,Female,Number,1851,217861
Population at Each Census 1841 to 2016,Kildare,Both sexes,Number,1851,95723
Population at Each Census 1841 to 2016,Kildare,Male,Number,1851,48528
Population at Each Census 1841 to 2016,Kildare,Female,Number,1851,47195
Population at Each Census 1841 to 2016,Kilkenny,Both sexes,Number,1851,158748
Population at Each Census 1841 to 2016,Kilkenny,Male,Number,1851,76493
Population at Each Census 1841 to 2016,Kilkenny,Female,Number,1851,82255
Population at Each Census 1841 to 2016,Laois,Both sexes,Number,1851,111664
Population at Each Census 1841 to 2016,Laois,Male,Number,1851,55556
Population at Each Census 1841 to 2016,Laois,Female,Number,1851,56108
Population at Each Census 1841 to 2016,Longford,Both sexes,Number,1851,82348
Population at Each Census 1841 to 2016,Longford,Male,Number,1851,41041
Population at Each Census 1841 to 2016,Longford,Female,Number,1851,41307
Population at Each Census 1841 to 2016,Louth,Both sexes,Number,1851,107662
Population at Each Census 1841 to 2016,Louth,Male,Number,1851,52257
Population at Each Census 1841 to 2016,Louth,Female,Number,1851,55405
Population at Each Census 1841 to 2016,Meath,Both sexes,Number,1851,140748
Population at Each Census 1841 to 2016,Meath,Male,Number,1851,70813
Population at Each Census 1841 to 2016,Meath,Female,Number,1851,69935
Population at Each Census 1841 to 2016,Offaly,Both sexes,Number,1851,112076
Population at Each Census 1841 to 2016,Offaly,Male,Number,1851,55284
Population at Each Census 1841 to 2016,Offaly,Female,Number,1851,56792
Population at Each Census 1841 to 2016,Westmeath,Both sexes,Number,1851,111407
Population at Each Census 1841 to 2016,Westmeath,Male,Number,1851,56095
Population at Each Census 1841 to 2016,Westmeath,Female,Number,1851,55312
Population at Each Census 1841 to 2016,Wexford,Both sexes,Number,1851,180158
Population at Each Census 1841 to 2016,Wexford,Male,Number,1851,86938
Population at Each Census 1841 to 2016,Wexford,Female,Number,1851,93220
Population at Each Census 1841 to 2016,Wicklow,Both sexes,Number,1851,98979
Population at Each Census 1841 to 2016,Wicklow,Male,Number,1851,50230
