,bikeid,HarvestTime,id,name,max,min,bikeid,battery,ebikestateid,name
0,5,2021-04-30 00:00:02,1,Perfect,100,60,5,70,2,Normal
1,6,2021-04-30 00:00:02,1,Perfect,100,60,6,62,2,Normal
2,7,2021-04-30 00:00:02,1,Perfect,100,60,7,66,2,Normal
3,8,2021-04-30 00:00:02,1,Perfect,100,60,8,70,2,Normal
4,9,2021-04-30 00:00:02,1,Perfect,100,60,9,75,2,Normal
5,10,2021-04-30 00:00:02,1,Perfect,100,60,10,72,2,Normal
6,12,2021-04-30 00:00:02,1,Perfect,100,60,12,65,2,Normal
7,13,2021-04-30 00:00:02,1,Perfect,100,60,13,77,2,Normal
8,14,2021-04-30 00:00:02,2,Good,59,20,14,46,2,Normal
9,16,2021-04-30 00:00:02,4,Dead,0,0,16,0,2,Normal
10,17,2021-04-30 00:00:02,2,Good,59,20,17,48,2,Normal
11,18,2021-04-30 00:00:02,2,Good,59,20,18,47,2,Normal
12,19,2021-04-30 00:00:02,1,Perfect,100,60,19,80,2,Normal
13,20,2021-04-30 00:00:02,1,Perfect,100,60,20,76,2,Normal
14,21,2021-04-30 00:00:02,1,Perfect,100,60,21,77,2,Normal
15,22,2021-04-30 00:00:02,1,Perfect,100,60,22,67,2,Normal
16,25,2021-04-30 00:00:02,4,Dead,0,0,25,0,2,Normal
17,26,2021-04-30 00:00:02,1,Perfect,100,60,26,88,2,Normal
18,27,2021-04-30 00:00:02,2,Good,59,20,27,53,2,Normal
19,30,2021-04-30 00:00:02,1,Perfect,100,60,30,67,2,Normal
20,31,2021-04-30 00:00:02,2,Good,59,20,31,42,2,Normal
21,33,2021-04-30 00:00:02,1,Perfect,100,60,33,60,2,Normal
22,35,2021-04-30 00:00:02,2,Good,59,20,35,47,2,Normal
23,41,2021-04-30 00:00:02,1,Perfect,100,60,41,82,2,Normal
24,42,2021-04-30 00:00:02,1,Perfect,100,60,42,77,2,Normal
25,43,2021-04-30 00:00:02,1,Perfect,100,60,43,81,2,Normal
26,44,2021-04-30 00:00:02,4,Dead,0,0,44,0,2,Normal
27,45,2021-04-30 00:00:02,1,Perfect,100,60,45,80,2,Normal
28,48,2021-04-30 00:00:02,1,Perfect,100,60,48,80,2,Normal
29,50,2021-04-30 00:00:02,2,Good,59,20,50,43,2,Normal
30,52,2021-04-30 00:00:02,1,Perfect,100,60,52,64,2,Normal
31,53,2021-04-30 00:00:02,2,Good,59,20,53,47,2,Normal
32,55,2021-04-30 00:00:02,2,Good,59,20,55,53,2,Normal
33,56,2021-04-30 00:00:02,1,Perfect,100,60,56,66,2,Normal
34,59,2021-04-30 00:00:02,2,Good,59,20,59,40,2,Normal
35,60,2021-04-30 00:00:02,2,Good,59,20,60,30,2,Normal
36,61,2021-04-30 00:00:02,2,Good,59,20,61,33,2,Normal
37,63,2021-04-30 00:00:02,2,Good,59,20,63,37,2,Normal
38,66,2021-04-30 00:00:02,1,Perfect,100,60,66,63,2,Normal
39,69,2021-04-30 00:00:02,2,Good,59,20,69,48,2,Normal
40,71,2021-04-30 00:00:02,2,Good,59,20,71,36,2,Normal
41,73,2021-04-30 00:00:02,2,Good,59,20,73,57,2,Normal
42,74,2021-04-30 00:00:02,1,Perfect,100,60,74,75,2,Normal
43,75,2021-04-30 00:00:02,1,Perfect,100,60,75,67,2,Normal
44,76,2021-04-30 00:00:02,1,Perfect,100,60,76,77,2,Normal
45,80,2021-04-30 00:00:02,1,Perfect,100,60,80,74,2,Normal
46,82,2021-04-30 00:00:02,1,Perfect,100,60,82,78,2,Normal
47,83,2021-04-30 00:00:02,2,Good,59,20,83,48,2,Normal
48,85,2021-04-30 00:00:02,1,Perfect,100,60,85,67,2,Normal
49,86,2021-04-30 00:00:02,1,Perfect,100,60,86,86,2,Normal
50,87,2021-04-30 00:00:02,2,Good,59,20,87,43,2,Normal
51,90,2021-04-30 00:00:02,2,Good,59,20,90,45,2,Normal
52,92,2021-04-30 00:00:02,1,Perfect,100,60,92,80,2,Normal
53,93,2021-04-30 00:00:02,1,Perfect,100,60,93,93,2,Normal
54,94,2021-04-30 00:00:02,1,Perfect,100,60,94,66,2,Normal
55,95,2021-04-30 00:00:02,2,Good,59,20,95,45,2,Normal
56,96,2021-04-30 00:00:02,1,Perfect,100,60,96,70,2,Normal
57,99,2021-04-30 00:00:02,2,Good,59,20,99,47,2,Normal
58,102,2021-04-30 00:00:02,1,Perfect,100,60,102,87,2,Normal
59,103,2021-04-30 00:00:02,1,Perfect,100,60,103,65,2,Normal
60,104,2021-04-30 00:00:02,1,Perfect,100,60,104,81,2,Normal
61,106,2021-04-30 00:00:02,1,Perfect,100,60,106,80,2,Normal
62,111,2021-04-30 00:00:02,1,Perfect,100,60,111,68,2,Normal
63,114,2021-04-30 00:00:02,1,Perfect,100,60,114,80,2,Normal
64,116,2021-04-30 00:00:02,2,Good,59,20,116,44,2,Normal
65,117,2021-04-30 00:00:02,2,Good,59,20,117,41,2,Normal
66,120,2021-04-30 00:00:02,2,Good,59,20,120,47,2,Normal
67,124,2021-04-30 00:00:02,1,Perfect,100,60,124,77,5,Laying on the ground
68,5,2021-04-30 00:05:02,1,Perfect,100,60,5,70,2,Normal
69,6,2021-04-30 00:05:02,1,Perfect,100,60,6,62,2,Normal
70,7,2021-04-30 00:05:02,1,Perfect,100,60,7,66,2,Normal
71,8,2021-04-30 00:05:02,1,Perfect,100,60,8,70,2,Normal
72,9,2021-04-30 00:05:02,1,Perfect,100,60,9,75,2,Normal
73,10,2021-04-30 00:05:02,1,Perfect,100,60,10,72,2,Normal
74,12,2021-04-30 00:05:02,1,Perfect,100,60,12,65,2,Normal
75,13,2021-04-30 00:05:02,1,Perfect,100,60,13,77,2,Normal
76,14,2021-04-30 00:05:02,2,Good,59,20,14,46,2,Normal
77,16,2021-04-30 00:05:02,4,Dead,0,0,16,0,2,Normal
78,17,2021-04-30 00:05:02,2,Good,59,20,17,48,2,Normal
79,18,2021-04-30 00:05:02,2,Good,59,20,18,47,2,Normal
80,19,2021-04-30 00:05:02,1,Perfect,100,60,19,80,2,Normal
81,20,2021-04-30 00:05:02,1,Perfect,100,60,20,76,2,Normal
82,21,2021-04-30 00:05:02,1,Perfect,100,60,21,77,2,Normal
83,22,2021-04-30 00:05:02,1,Perfect,100,60,22,67,2,Normal
84,25,2021-04-30 00:05:02,4,Dead,0,0,25,0,2,Normal
85,26,2021-04-30 00:05:02,1,Perfect,100,60,26,88,2,Normal
86,27,2021-04-30 00:05:02,2,Good,59,20,27,53,2,Normal
87,30,2021-04-30 00:05:02,1,Perfect,100,60,30,67,2,Normal
88,31,2021-04-30 00:05:02,2,Good,59,20,31,42,2,Normal
89,33,2021-04-30 00:05:02,1,Perfect,100,60,33,60,2,Normal
90,35,2021-04-30 00:05:02,2,Good,59,20,35,47,2,Normal
91,41,2021-04-30 00:05:02,1,Perfect,100,60,41,82,2,Normal
92,42,2021-04-30 00:05:02,1,Perfect,100,60,42,77,2,Normal
93,43,2021-04-30 00:05:02,1,Perfect,100,60,43,81,2,Normal
94,44,2021-04-30 00:05:02,4,Dead,0,0,44,0,2,Normal
95,45,2021-04-30 00:05:02,1,Perfect,100,60,45,80,2,Normal
96,48,2021-04-30 00:05:02,1,Perfect,100,60,48,80,2,Normal
97,50,2021-04-30 00:05:02,2,Good,59,20,50,41,2,Normal
98,52,2021-04-30 00:05:02,1,Perfect,100,60,52,64,2,Normal
99,53,2021-04-30 00:05:02,2,Good,59,20,53,47,2,Normal
100,55,2021-04-30 00:05:02,2,Good,59,20,55,53,2,Normal
101,56,2021-04-30 00:05:02,1,Perfect,100,60,56,66,2,Normal
