,total,bikeid,lasttimerented
0,1,6,2021-04-30 02:26:40
1,0,124,
2,0,123,
3,0,122,
4,0,121,
5,0,120,
6,0,118,
7,0,117,
8,0,116,
9,0,115,
10,0,114,
11,0,113,
12,0,112,
13,0,111,
14,0,110,
15,0,109,
16,0,108,
17,0,107,
18,0,106,
19,0,105,
20,0,104,
21,0,103,
22,0,102,
23,0,101,
24,0,100,
25,0,99,
26,0,98,
27,0,97,
28,0,96,
29,0,95,
30,0,94,
31,0,93,
32,0,92,
33,0,91,
34,0,90,
35,0,89,
36,0,88,
37,0,87,
38,0,86,
39,0,85,
40,0,83,
41,0,82,
42,0,81,
43,0,80,
44,0,79,
45,0,78,
46,0,77,
47,0,76,
48,0,75,
49,0,74,
50,0,73,
51,0,72,
52,0,71,
53,0,70,
54,0,69,
55,0,68,
56,0,67,
57,0,66,
58,0,65,
59,0,64,
60,0,63,
61,0,62,
62,0,61,
63,0,60,
64,0,59,
65,0,58,
66,0,57,
67,0,56,
68,0,55,
69,0,54,
70,0,53,
71,0,52,
72,0,51,
73,0,50,
74,0,49,
75,0,48,
76,0,47,
77,0,45,
78,0,44,
79,0,43,
80,0,42,
81,0,41,
82,0,40,
83,0,39,
84,0,38,
85,0,37,
86,0,36,
87,0,35,
88,0,34,
89,0,33,
90,0,32,
91,0,31,
92,0,30,
93,0,29,
94,0,28,
95,0,27,
96,0,26,
97,0,25,
98,0,23,
99,0,22,
100,0,21,
101,0,20,
102,0,19,
103,0,18,
104,0,17,
105,0,16,
106,0,15,
107,0,14,
108,0,13,
109,0,12,
110,0,11,
111,0,10,
112,0,9,
113,0,8,
114,0,7,
115,0,5,
