,LastGPSTime,BikeID,Longitude,Latitude,InDublinArea,InMobyArea,Located,Battery,EBikeStateID,name,batteryid,HarvestTime,nameebs
0,2021-04-30 06:51:12,5,-6.29614,53.3484,1.0,1.0,1.0,68,2,Perfect,1,2021-04-30 07:05:01,Normal
1,2021-04-30 06:36:03,6,-6.25511,53.3254,1.0,1.0,1.0,52,2,Good,2,2021-04-30 07:05:01,Normal
2,2021-04-30 06:44:56,7,-6.30806,53.3461,1.0,1.0,1.0,65,2,Perfect,1,2021-04-30 07:05:01,Normal
3,2021-04-30 06:44:29,8,-6.258,53.3853,1.0,1.0,1.0,66,2,Perfect,1,2021-04-30 07:05:01,Normal
4,2021-04-30 06:54:12,9,-6.18438,53.2963,1.0,1.0,1.0,74,2,Perfect,1,2021-04-30 07:05:01,Normal
5,2021-04-30 06:54:51,10,-6.29218,53.3464,1.0,1.0,1.0,71,2,Perfect,1,2021-04-30 07:05:01,Normal
6,2021-04-30 06:38:28,12,-6.31905,53.3664,1.0,1.0,1.0,62,2,Perfect,1,2021-04-30 07:05:01,Normal
7,2021-04-30 06:58:49,13,-6.36275,53.3729,0.0,1.0,1.0,75,2,Perfect,1,2021-04-30 07:05:01,Normal
8,2021-04-30 06:48:25,14,-6.26062,53.3492,1.0,1.0,1.0,45,2,Good,2,2021-04-30 07:05:01,Normal
9,2021-04-27 16:35:21,16,-6.25432,53.3696,,,,0,2,Dead,4,2021-04-30 07:05:01,Normal
10,2021-04-30 06:44:43,17,-6.32252,53.3657,1.0,1.0,1.0,48,2,Good,2,2021-04-30 07:05:01,Normal
11,2021-04-30 06:52:00,18,-6.26527,53.3235,1.0,1.0,1.0,45,2,Good,2,2021-04-30 07:05:01,Normal
12,2021-04-30 06:46:41,19,-6.2654,53.3236,1.0,1.0,1.0,80,2,Perfect,1,2021-04-30 07:05:01,Normal
13,2021-04-30 06:35:38,20,-6.21582,53.3328,1.0,1.0,1.0,75,2,Perfect,1,2021-04-30 07:05:01,Normal
14,2021-04-30 06:55:50,21,-6.36275,53.3728,0.0,1.0,1.0,76,2,Perfect,1,2021-04-30 07:05:01,Normal
15,2021-04-30 06:38:19,22,-6.23729,53.3622,1.0,1.0,1.0,66,2,Perfect,1,2021-04-30 07:05:01,Normal
16,2021-04-27 11:42:25,25,-6.26994,53.3769,,,,0,2,Dead,4,2021-04-30 07:05:01,Normal
17,2021-04-30 06:48:33,26,-6.33765,53.3723,1.0,1.0,1.0,86,2,Perfect,1,2021-04-30 07:05:01,Normal
18,2021-04-28 06:35:11,27,-6.26022,53.3523,,,,53,2,Good,2,2021-04-30 07:05:01,Normal
19,2021-04-30 07:03:22,30,-6.18434,53.2963,1.0,1.0,1.0,66,2,Perfect,1,2021-04-30 07:05:01,Normal
20,2021-04-30 06:47:35,31,-6.25433,53.3695,1.0,1.0,1.0,41,2,Good,2,2021-04-30 07:05:01,Normal
21,2021-04-30 06:36:34,33,-6.23589,53.3632,1.0,1.0,1.0,57,2,Good,2,2021-04-30 07:05:01,Normal
22,2021-04-30 06:56:41,35,-6.31911,53.3664,1.0,1.0,1.0,47,2,Good,2,2021-04-30 07:05:01,Normal
23,2021-04-30 06:42:07,41,-6.24144,53.3817,1.0,1.0,1.0,81,2,Perfect,1,2021-04-30 07:05:01,Normal
24,2021-04-30 06:40:33,42,-6.25102,53.3511,1.0,1.0,1.0,77,2,Perfect,1,2021-04-30 07:05:01,Normal
25,2021-04-30 06:59:39,43,-6.25805,53.3854,1.0,1.0,1.0,81,2,Perfect,1,2021-04-30 07:05:01,Normal
26,2021-04-28 12:08:35,44,-6.26088,53.349,,,,0,2,Dead,4,2021-04-30 07:05:01,Normal
27,2021-04-30 07:03:48,45,-6.28364,53.3413,1.0,1.0,1.0,78,2,Perfect,1,2021-04-30 07:05:01,Normal
28,2021-04-30 06:57:18,48,-6.13451,53.2946,1.0,1.0,1.0,78,2,Perfect,1,2021-04-30 07:05:01,Normal
29,2021-04-30 06:37:48,50,-6.29606,53.3484,1.0,1.0,1.0,41,2,Good,2,2021-04-30 07:05:01,Normal
30,2021-04-30 06:58:30,52,-6.13363,53.2948,1.0,1.0,1.0,63,2,Perfect,1,2021-04-30 07:05:01,Normal
31,2021-04-30 06:38:01,53,-6.13433,53.2944,1.0,1.0,1.0,46,2,Good,2,2021-04-30 07:05:01,Normal
32,2021-04-30 07:03:09,55,-6.25,53.3409,1.0,1.0,1.0,52,5,Good,2,2021-04-30 07:05:01,Laying on the ground
33,2021-04-30 06:52:39,56,-6.27305,53.3391,1.0,1.0,1.0,66,2,Perfect,1,2021-04-30 07:05:01,Normal
34,2021-04-30 06:52:52,59,-6.29612,53.3483,1.0,1.0,1.0,37,2,Good,2,2021-04-30 07:05:01,Normal
35,2021-04-30 06:38:10,60,-6.13444,53.2946,1.0,1.0,1.0,28,2,Good,2,2021-04-30 07:05:01,Normal
36,2021-04-30 06:39:24,61,-6.13451,53.2946,1.0,1.0,1.0,32,2,Good,2,2021-04-30 07:05:01,Normal
37,2021-04-30 06:53:42,63,-6.23695,53.3625,1.0,1.0,1.0,36,2,Good,2,2021-04-30 07:05:01,Normal
38,2021-04-30 06:55:45,66,-6.23589,53.3632,1.0,1.0,1.0,62,2,Perfect,1,2021-04-30 07:05:01,Normal
39,2021-04-30 06:44:32,69,-6.25345,53.3323,1.0,1.0,1.0,47,2,Good,2,2021-04-30 07:05:01,Normal
40,2021-04-30 06:46:14,71,-6.27321,53.3393,1.0,1.0,1.0,35,2,Good,2,2021-04-30 07:05:01,Normal
41,2021-04-30 06:35:29,73,-6.1345,53.2947,1.0,1.0,1.0,53,2,Good,2,2021-04-30 07:05:01,Normal
42,2021-04-30 07:00:15,74,-6.36263,53.3729,0.0,1.0,1.0,75,2,Perfect,1,2021-04-30 07:05:01,Normal
43,2021-04-30 06:41:45,75,-6.3627,53.3728,0.0,1.0,1.0,66,2,Perfect,1,2021-04-30 07:05:01,Normal
44,2021-04-30 06:48:47,76,-6.23585,53.3632,1.0,1.0,1.0,76,2,Perfect,1,2021-04-30 07:05:01,Normal
45,2021-04-30 06:48:59,80,-6.14409,53.2802,1.0,1.0,1.0,73,2,Perfect,1,2021-04-30 07:05:01,Normal
46,2021-04-30 06:55:59,82,-6.36271,53.3729,0.0,1.0,1.0,76,2,Perfect,1,2021-04-30 07:05:01,Normal
47,2021-04-30 06:41:21,83,-6.17822,53.3019,1.0,1.0,1.0,47,2,Good,2,2021-04-30 07:05:01,Normal
48,2021-04-30 07:03:23,85,-6.25433,53.3696,1.0,1.0,1.0,67,2,Perfect,1,2021-04-30 07:05:01,Normal
49,2021-04-30 06:57:29,86,-6.2682,53.3569,1.0,1.0,1.0,85,2,Perfect,1,2021-04-30 07:05:01,Normal
50,2021-04-30 07:04:41,87,-6.27472,53.3119,1.0,1.0,1.0,42,2,Good,2,2021-04-30 07:05:01,Normal
51,2021-04-30 07:02:48,90,-6.22003,53.3053,1.0,1.0,1.0,45,2,Good,2,2021-04-30 07:05:01,Normal
52,2021-04-30 06:36:53,92,-6.36295,53.3731,0.0,1.0,1.0,78,2,Perfect,1,2021-04-30 07:05:01,Normal
53,2020-10-22 11:19:29,93,-6.26973,53.3769,,,,93,2,Perfect,1,2021-04-30 07:05:01,Normal
54,2021-04-30 06:39:49,94,-6.25797,53.3855,1.0,1.0,1.0,64,2,Perfect,1,2021-04-30 07:05:01,Normal
55,2021-04-30 06:35:33,95,-6.2359,53.3632,1.0,1.0,1.0,44,2,Good,2,2021-04-30 07:05:01,Normal
56,2021-04-30 06:59:26,96,-6.25669,53.3561,1.0,1.0,1.0,68,2,Perfect,1,2021-04-30 07:05:01,Normal
57,2021-04-30 06:48:19,99,-6.26142,53.3523,1.0,1.0,1.0,46,2,Good,2,2021-04-30 07:05:01,Normal
58,2021-04-30 06:40:48,102,-6.25757,53.3557,1.0,1.0,1.0,87,2,Perfect,1,2021-04-30 07:05:01,Normal
59,2021-04-30 06:40:12,103,-6.25511,53.3254,1.0,1.0,1.0,63,2,Perfect,1,2021-04-30 07:05:01,Normal
60,2021-04-30 07:02:51,104,-6.26062,53.3521,1.0,1.0,1.0,78,2,Perfect,1,2021-04-30 07:05:01,Normal
61,2021-04-30 06:38:38,106,-6.17853,53.302,1.0,1.0,1.0,78,2,Perfect,1,2021-04-30 07:05:01,Normal
62,2021-04-30 06:59:47,111,-6.25938,53.3523,1.0,1.0,1.0,67,2,Perfect,1,2021-04-30 07:05:01,Normal
63,2021-04-30 06:44:00,114,-6.26577,53.3507,1.0,1.0,1.0,78,2,Perfect,1,2021-04-30 07:05:01,Normal
64,2021-04-30 06:47:04,116,-6.29604,53.3484,1.0,1.0,1.0,42,2,Good,2,2021-04-30 07:05:01,Normal
65,2021-04-30 07:03:28,117,-6.18437,53.2963,1.0,1.0,1.0,41,2,Good,2,2021-04-30 07:05:01,Normal
66,2021-04-30 06:35:28,120,-6.26079,53.349,1.0,1.0,1.0,46,2,Good,2,2021-04-30 07:05:01,Normal
67,2021-04-30 06:57:15,124,-6.13353,53.2948,1.0,1.0,1.0,76,5,Perfect,1,2021-04-30 07:05:01,Laying on the ground
