id_wing,s_wing,wing,dg_wing,area,peri,e_len_axe1,max_len_axe1,devmax_cent_axe1,m2_axe1,m3_axe1,m4_axe1,stdm2_axe1,stdm3_axe1,stdm4_axe1,e_len_axe2,max_len_axe2,devmax_cent_axe2,m2_axe2,m3_axe2,m4_axe2,stdm2_axe2,stdm3_axe2,stdm4_axe2,sex,tribe,genus,geno1,geno2,seg
MJ02.0725-d_Ant_d,d,Ant,d,954465.0,4565.9549,1622.1291,1674.0,69.7104,967713404464.0,1166093876204630.0,1.48850925120962e+18,0.6015,0.63861,0.66756,777.8875,844.0,-25.298,179125471444.0,98157027576774.0,5.82341051974203e+16,0.51328,0.55511,0.58886,f,Heliconiinae,Heliconius,aurora,elegans,b
MJ02.0725-d_Post_g,d,Post,g,638157.0,NA,1120.3231,1100.0,-59.4572,249024797899.0,195194465382355.0,1.64017680697156e+17,0.56789,0.61252,0.64729,729.2658,731.0,-95.3215,99133019103.0,49787697268249.0,2.69029093911666e+16,0.53917,0.58454,0.61987,f,Heliconiinae,Heliconius,aurora,elegans,b
MJ02.0726-d_Ant_d,d,Ant,d,984051.0,4595.8817,1673.3414,1741.0,89.1505,1069847709180.0,1336034050619670.0,1.7700928152209e+18,0.5989,0.63602,0.66519,774.3652,844.0,-39.1989,178260702151.0,96684173147953.0,5.69037777083334e+16,0.50429,0.54673,0.58102,f,Heliconiinae,Heliconius,aurora,silvana,b
MJ02.0726-d_Post_d,d,Post,d,634452.0,NA,1145.199,1138.0,50.8133,267701750118.0,216542452655594.0,1.8749806518073e+17,0.5708,0.6141,0.6479,710.0563,718.0,-108.5135,94494918365.0,46428712462551.0,2.45646716224709e+16,0.5375,0.58256,0.61781,f,Heliconiinae,Heliconius,aurora,silvana,b
MJ02.0735-d_Ant_g,d,Ant,g,889416.0,4447.3519,1602.0627,1649.0,-123.5292,644725446306.0,711216237133670.0,8.53222445499065e+17,0.51631,0.56287,0.60016,732.2889,801.0,-44.8532,144607023282.0,74128171449556.0,4.11944827002094e+16,0.5034,0.54533,0.57916,f,Heliconiinae,Heliconius,silvana,silvana,b
MJ02.0735-d_Post_g,d,Post,g,552109.0,NA,1051.3688,1035.0,22.2319,195482360421.0,144933005900285.0,1.14997785583302e+17,0.57491,0.61864,0.65272,675.18,670.0,-50.1721,70551107988.0,32464121232856.0,1.61090771560436e+16,0.53354,0.58039,0.61686,f,Heliconiinae,Heliconius,silvana,silvana,b
MJ02.0736-d_Ant_g,d,Ant,g,998666.0,4727.6391,1668.3737,1710.0,-104.4607,769446408206.0,880107516868692.0,1.09603753677949e+18,0.51331,0.56067,0.59856,791.1103,863.0,-24.5902,194687731402.0,108513568126722.0,6.54043164465776e+16,0.51162,0.55294,0.58619,f,Heliconiinae,Heliconius,aurora,elegans,b
MJ02.0736-d_Post_d,d,Post,d,630493.0,NA,1103.9246,1089.0,40.7132,243177871497.0,188507441466907.0,1.56387633916566e+17,0.57029,0.61403,0.64804,732.1526,727.0,-85.5836,98590417572.0,49734103171044.0,2.70068426154033e+16,0.54393,0.58992,0.62577,f,Heliconiinae,Heliconius,aurora,elegans,b
MJ02.0738-d_Ant_g,d,Ant,g,1105201.0,4885.6046,1750.8576,1798.0,-114.3222,966163557720.0,1167105899993170.0,1.53180383590227e+18,0.52001,0.56637,0.60346,829.3862,900.0,-55.5016,231202150457.0,134401847957309.0,8.46653020897837e+16,0.5082,0.55048,0.58455,m,Heliconiinae,Heliconius,aurora,elegans,b
MJ02.0738-d_Post_g,d,Post,g,745133.0,NA,1178.7182,1172.0,-77.563,328297026705.0,272648933753097.0,2.42912022921019e+17,0.56636,0.61028,0.64473,810.1177,821.0,-155.7159,150723211926.0,85637734990026.0,5.23697946600833e+16,0.54781,0.5922,0.62715,m,Heliconiinae,Heliconius,aurora,elegans,b
MJ02.0739-d_Ant_g,d,Ant,g,1098193.0,4824.5407,1748.2674,1777.0,-137.4878,974171267242.0,1179206247899090.0,1.54760800629965e+18,0.53002,0.57626,0.61314,821.2672,894.0,-36.2276,226921527869.0,130803594894157.0,8.16176190310217e+16,0.50846,0.55035,0.58403,m,Heliconiinae,Heliconius,aurora,silvana,b
MJ02.0739-d_Post_d,d,Post,d,749234.0,NA,1175.0814,1159.0,-58.1109,327308181280.0,270366357430614.0,2.39306218183812e+17,0.57028,0.61427,0.64864,815.381,821.0,-144.6753,154459202382.0,88368133720702.0,5.43475001347409e+16,0.55304,0.59733,0.63212,m,Heliconiinae,Heliconius,aurora,silvana,b
MJ02.0740-d_Ant_d,d,Ant,d,806069.0,4155.4726,1492.6429,1529.0,59.6524,669792028956.0,735155563226024.0,8.56251348457042e+17,0.59618,0.63425,0.66397,709.7441,773.0,-48.3921,124800606191.0,62259520014289.0,3.36427200106471e+16,0.50903,0.55093,0.58472,f,Heliconiinae,Heliconius,aurora,elegans,b
MJ02.0740-d_Post_d,d,Post,d,520380.0,NA,1021.4941,1012.0,-13.5258,169616091484.0,121236983684136.0,9.28223625055681e+16,0.56415,0.60803,0.64217,652.337,654.0,-92.8112,65059761309.0,29296401885313.0,1.41979224266516e+16,0.54065,0.58603,0.62144,f,Heliconiinae,Heliconius,aurora,elegans,b
MJ02.0742-d_Ant_d,d,Ant,d,1099084.0,4809.4452,1789.8597,1839.0,58.0554,1286820557354.0,1684705052705730.0,2.3449499991718e+18,0.58839,0.62697,0.65719,802.177,874.0,-18.9307,214633175034.0,120580525754864.0,7.33990924370585e+16,0.50562,0.54774,0.58164,m,Heliconiinae,Heliconius,silvana,silvana,b
MJ02.0742-d_Post_d,d,Post,d,731799.0,NA,1157.1963,1147.0,-19.5067,307899610208.0,250086115203310.0,2.17832344296409e+17,0.56552,0.60954,0.64398,811.961,822.0,-16.5531,146370299171.0,82992735627421.0,5.06885787190506e+16,0.54407,0.58886,0.62411,m,Heliconiinae,Heliconius,silvana,silvana,b
MJ02.0755-d_Ant_d,d,Ant,d,1018165.0,4665.2442,1671.0457,1729.0,104.6061,1078630509337.0,1333701064251560.0,1.75029157207044e+18,0.5953,0.63283,0.66226,800.8539,869.0,-19.127,202064167233.0,114028527674261.0,6.97166862278368e+16,0.51264,0.55468,0.58865,f,Heliconiinae,Heliconius,aurora,elegans,b
MJ02.0755-d_Post_d,d,Post,d,663348.0,NA,1136.6787,1133.0,-37.6066,277110987983.0,222783159247011.0,1.9163820513053e+17,0.57046,0.6135,0.64708,749.5901,746.0,-108.6379,107245196996.0,55218768410994.0,3.06369503950833e+16,0.53899,0.5853,0.62142,f,Heliconiinae,Heliconius,aurora,elegans,b
MJ02.0759-d_Ant_g,d,Ant,g,1152681.0,4889.026,1763.898,1795.0,-131.4415,1037996539712.0,1265250883804280.0,1.67096852908962e+18,0.52866,0.57468,0.61129,851.5599,917.0,-33.0056,252974811693.0,150638053681227.0,9.70843096027577e+16,0.51088,0.5534,0.58748,m,Heliconiinae,Heliconius,elegans,silvana,b
MJ02.0759-d_Post_d,d,Post,d,781256.0,NA,1181.4045,1169.0,-22.898,340882547545.0,282229119348565.0,2.5059650158607e+17,0.56506,0.60924,0.64377,845.6859,858.0,-3.1018,171534547818.0,101465233687698.0,6.45358526000428e+16,0.54612,0.59023,0.62483,m,Heliconiinae,Heliconius,elegans,silvana,b
MJ02.0760-d_Ant_d,d,Ant,d,1004786.0,4634.7102,1677.3017,1760.0,88.6948,1113280928536.0,1399651783986980.0,1.86567597350703e+18,0.59807,0.63456,0.66325,790.592,868.0,-34.9272,194283168913.0,108352460103629.0,6.55414036764829e+16,0.5066,0.54836,0.58222,f,Heliconiinae,Heliconius,aurora,silvana,b
MJ02.0760-d_Post_d,d,Post,d,648724.0,NA,1140.2274,1117.0,-36.0163,259057091134.0,205728571811840.0,1.75115972230086e+17,0.56574,0.61051,0.6453,729.9006,727.0,-23.1063,98878561301.0,49432462451511.0,2.6612114858775e+16,0.53702,0.58315,0.61904,f,Heliconiinae,Heliconius,aurora,silvana,b
MJ02.0771-d_Ant_d,d,Ant,d,998774.0,4658.3325,1661.5032,1704.0,78.4225,1035930465635.0,1269701943898650.0,1.65176078562571e+18,0.59767,0.63573,0.6655,787.5757,854.0,-52.3568,189220736750.0,104523489479118.0,6.2513693275651e+16,0.50967,0.55181,0.58569,m,Heliconiinae,Heliconius,aurora,elegans,b
MJ02.0771-d_Post_d,d,Post,d,694491.0,NA,1115.3013,1130.0,-7.4249,289516524009.0,231245494762557.0,1.97665442441705e+17,0.57138,0.61337,0.64638,797.6449,808.0,-144.2375,135053063268.0,75346085287180.0,4.5250364360372e+16,0.54577,0.59027,0.62528,m,Heliconiinae,Heliconius,aurora,elegans,b
