name,sex,genotype,area,ellipse_axe_1_length,max_axe_1_length,deviation_max_axe_1_from_center,axe_1_moment_2,axe_1_moment_3,axe_1_moment_4,std_axe_1_moment_2,std_axe_1_moment_3,std_axe_1_moment_4
0725-d_Ant_d,F,a-e,954465.0,1622.1291,1674.0,69.7104,967713404464.0,1166093876204630.0,1.48850925120962e+18,0.6015,0.63861,0.66756
0725-d_Post_g,F,a-e,638157.0,1120.3231,1100.0,-59.4572,249024797899.0,195194465382355.0,1.64017680697156e+17,0.56789,0.61252,0.64729
0726-d_Ant_d,F,a-s,984051.0,1673.3414,1741.0,89.1505,1069847709180.0,1336034050619670.0,1.7700928152209e+18,0.5989,0.63602,0.66519
0726-d_Post_d,F,a-s,634452.0,1145.199,1138.0,50.8133,267701750118.0,216542452655594.0,1.8749806518073e+17,0.5708,0.6141,0.6479
0735-d_Ant_g,f,s-s,889416.0,1602.0627,1649.0,-123.5292,644725446306.0,711216237133670.0,8.53222445499065e+17,0.51631,0.56287,0.60016
0735-d_Post_g,f,s-s,552109.0,1051.3688,1035.0,22.2319,195482360421.0,144933005900285.0,1.14997785583302e+17,0.57491,0.61864,0.65272
0736-d_Ant_g,F,a-e,998666.0,1668.3737,1710.0,-104.4607,769446408206.0,880107516868692.0,1.09603753677949e+18,0.51331,0.56067,0.59856
0736-d_Post_d,F,a-e,630493.0,1103.9246,1089.0,40.7132,243177871497.0,188507441466907.0,1.56387633916566e+17,0.57029,0.61403,0.64804
0738-d_Ant_g,M,a-e,1105201.0,1750.8576,1798.0,-114.3222,966163557720.0,1167105899993170.0,1.53180383590227e+18,0.52001,0.56637,0.60346
0738-d_Post_g,M,a-e,745133.0,1178.7182,1172.0,-77.563,328297026705.0,272648933753097.0,2.42912022921019e+17,0.56636,0.61028,0.64473
0739-d_Ant_g,M,a-s,1098193.0,1748.2674,1777.0,-137.4878,974171267242.0,1179206247899090.0,1.54760800629965e+18,0.53002,0.57626,0.61314
0739-d_Post_d,M,a-s,749234.0,1175.0814,1159.0,-58.1109,327308181280.0,270366357430614.0,2.39306218183812e+17,0.57028,0.61427,0.64864
0740-d_Ant_d,F,a-e,806069.0,1492.6429,1529.0,59.6524,669792028956.0,735155563226024.0,8.56251348457042e+17,0.59618,0.63425,0.66397
0740-d_Post_d,F,a-e,520380.0,1021.4941,1012.0,-13.5258,169616091484.0,121236983684136.0,9.28223625055681e+16,0.56415,0.60803,0.64217
0742-d_Ant_d,M,s-s,1099084.0,1789.8597,1839.0,58.0554,1286820557354.0,1684705052705730.0,2.3449499991718e+18,0.58839,0.62697,0.65719
0742-d_Post_d,M,s-s,731799.0,1157.1963,1147.0,-19.5067,307899610208.0,250086115203310.0,2.17832344296409e+17,0.56552,0.60954,0.64398
0755-d_Ant_d,F,a-e,1018165.0,1671.0457,1729.0,104.6061,1078630509337.0,1333701064251560.0,1.75029157207044e+18,0.5953,0.63283,0.66226
0755-d_Post_d,F,a-e,663348.0,1136.6787,1133.0,-37.6066,277110987983.0,222783159247011.0,1.9163820513053e+17,0.57046,0.6135,0.64708
