name,name.1,area,ellipse_axe_2_length,max_axe_2_length,deviation_max_axe_2_from_center,axe_2_moment_2,axe_2_moment_3,axe_2_moment_4,std_axe_2_moment_2,std_axe_2_moment_3,std_axe_2_moment_4,max_axe_1_length
MJ02.0725-d_Ant_d,0725-d_Ant_d,954465.0,777.8875,844.0,-25.298,179125471444.0,98157027576774.0,5.82341051974203e+16,0.51328,0.55511,0.58886,1674.0
MJ02.0725-d_Post_g,0725-d_Post_g,638157.0,729.2658,731.0,-95.3215,99133019103.0,49787697268249.0,2.69029093911666e+16,0.53917,0.58454,0.61987,1100.0
MJ02.0726-d_Ant_d,0726-d_Ant_d,984051.0,774.3652,844.0,-39.1989,178260702151.0,96684173147953.0,5.69037777083334e+16,0.50429,0.54673,0.58102,1741.0
MJ02.0726-d_Post_d,0726-d_Post_d,634452.0,710.0563,718.0,-108.5135,94494918365.0,46428712462551.0,2.45646716224709e+16,0.5375,0.58256,0.61781,1138.0
MJ02.0735-d_Ant_g,0735-d_Ant_g,889416.0,732.2889,801.0,-44.8532,144607023282.0,74128171449556.0,4.11944827002094e+16,0.5034,0.54533,0.57916,1649.0
MJ02.0735-d_Post_g,0735-d_Post_g,552109.0,675.18,670.0,-50.1721,70551107988.0,32464121232856.0,1.61090771560436e+16,0.53354,0.58039,0.61686,1035.0
MJ02.0736-d_Ant_g,0736-d_Ant_g,998666.0,791.1103,863.0,-24.5902,194687731402.0,108513568126722.0,6.54043164465776e+16,0.51162,0.55294,0.58619,1710.0
MJ02.0736-d_Post_d,0736-d_Post_d,630493.0,732.1526,727.0,-85.5836,98590417572.0,49734103171044.0,2.70068426154033e+16,0.54393,0.58992,0.62577,1089.0
MJ02.0738-d_Ant_g,0738-d_Ant_g,1105201.0,829.3862,900.0,-55.5016,231202150457.0,134401847957309.0,8.46653020897837e+16,0.5082,0.55048,0.58455,1798.0
MJ02.0738-d_Post_g,0738-d_Post_g,745133.0,810.1177,821.0,-155.7159,150723211926.0,85637734990026.0,5.23697946600833e+16,0.54781,0.5922,0.62715,1172.0
MJ02.0739-d_Ant_g,0739-d_Ant_g,1098193.0,821.2672,894.0,-36.2276,226921527869.0,130803594894157.0,8.16176190310217e+16,0.50846,0.55035,0.58403,1777.0
MJ02.0739-d_Post_d,0739-d_Post_d,749234.0,815.381,821.0,-144.6753,154459202382.0,88368133720702.0,5.43475001347409e+16,0.55304,0.59733,0.63212,1159.0
MJ02.0740-d_Ant_d,0740-d_Ant_d,806069.0,709.7441,773.0,-48.3921,124800606191.0,62259520014289.0,3.36427200106471e+16,0.50903,0.55093,0.58472,1529.0
MJ02.0740-d_Post_d,0740-d_Post_d,520380.0,652.337,654.0,-92.8112,65059761309.0,29296401885313.0,1.41979224266516e+16,0.54065,0.58603,0.62144,1012.0
MJ02.0742-d_Ant_d,0742-d_Ant_d,1099084.0,802.177,874.0,-18.9307,214633175034.0,120580525754864.0,7.33990924370585e+16,0.50562,0.54774,0.58164,1839.0
MJ02.0742-d_Post_d,0742-d_Post_d,731799.0,811.961,822.0,-16.5531,146370299171.0,82992735627421.0,5.06885787190506e+16,0.54407,0.58886,0.62411,1147.0
MJ02.0755-d_Ant_d,0755-d_Ant_d,1018165.0,800.8539,869.0,-19.127,202064167233.0,114028527674261.0,6.97166862278368e+16,0.51264,0.55468,0.58865,1729.0
MJ02.0755-d_Post_d,0755-d_Post_d,663348.0,749.5901,746.0,-108.6379,107245196996.0,55218768410994.0,3.06369503950833e+16,0.53899,0.5853,0.62142,1133.0
MJ02.0759-d_Ant_g,0759-d_Ant_g,1152681.0,851.5599,917.0,-33.0056,252974811693.0,150638053681227.0,9.70843096027577e+16,0.51088,0.5534,0.58748,1795.0
MJ02.0759-d_Post_d,0759-d_Post_d,781256.0,845.6859,858.0,-3.1018,171534547818.0,101465233687698.0,6.45358526000428e+16,0.54612,0.59023,0.62483,1169.0
MJ02.0760-d_Ant_d,0760-d_Ant_d,1004786.0,790.592,868.0,-34.9272,194283168913.0,108352460103629.0,6.55414036764829e+16,0.5066,0.54836,0.58222,1760.0
MJ02.0760-d_Post_d,0760-d_Post_d,648724.0,729.9006,727.0,-23.1063,98878561301.0,49432462451511.0,2.6612114858775e+16,0.53702,0.58315,0.61904,1117.0
MJ02.0771-d_Ant_d,0771-d_Ant_d,998774.0,787.5757,854.0,-52.3568,189220736750.0,104523489479118.0,6.2513693275651e+16,0.50967,0.55181,0.58569,1704.0
MJ02.0771-d_Post_d,0771-d_Post_d,694491.0,797.6449,808.0,-144.2375,135053063268.0,75346085287180.0,4.5250364360372e+16,0.54577,0.59027,0.62528,1130.0
MJ02.0772-d_Ant_d,0772-d_Ant_d,1147545.0,836.913,902.0,-47.4355,246237526822.0,144550398924602.0,9.17627563432876e+16,0.51355,0.55575,0.58955,1821.0
MJ02.0772-d_Post_d,0772-d_Post_d,786552.0,849.0362,857.0,-1.8758,170863019905.0,100968891922359.0,6.42116793614448e+16,0.54385,0.58863,0.62372,1176.0
MJ02.0773-d_Ant_d,0773-d_Ant_d,1080669.0,823.2933,885.0,-59.0449,225581951581.0,130480808993927.0,8.16012635009447e+16,0.51625,0.55848,0.59232,1740.0
MJ02.0773-d_Post_d,0773-d_Post_d,732565.0,823.2068,827.0,-19.633,147958137905.0,84506588091483.0,5.19565658037514e+16,0.54343,0.58863,0.62401,1143.0
MJ02.0788-d_Ant_d,0788-d_Ant_d,1004592.0,800.5716,867.0,-69.6025,194991278751.0,109406478114853.0,6.65931080095162e+16,0.50815,0.55081,0.58525,1713.0
MJ02.0788-d_Post_g,0788-d_Post_g,635782.0,708.9434,709.0,-20.3374,93123127381.0,45465265497097.0,2.38977543556569e+16,0.53979,0.58543,0.62103,1135.0
MJ02.0789-d_Ant_d,0789-d_Ant_d,1046449.0,807.6356,869.0,-6.6495,207146661284.0,117162221850946.0,7.17675532851896e+16,0.51199,0.55463,0.58889,1737.0
MJ02.0789-d_Post_g,0789-d_Post_g,726120.0,808.8214,820.0,-6.0439,146441335071.0,83107769266887.0,5.07726448197959e+16,0.54766,0.5921,0.62711,1145.0
MJ02.0790-d_Ant_d,0790-d_Ant_d,1202555.0,875.2807,938.0,-56.4842,280264135536.0,171767487391984.0,1.13887367015518e+17,0.51467,0.55728,0.59141,1840.0
MJ02.0790-d_Post_g,0790-d_Post_g,817911.0,871.0549,883.0,-3.5403,187529454254.0,113841657071118.0,7.44080876683184e+16,0.54228,0.58691,0.62197,1195.0
MJ02.0791-d_Ant_d,0791-d_Ant_d,1170141.0,851.6834,918.0,-69.3943,259664542426.0,155100347172488.0,1.00224316611541e+17,0.51315,0.55541,0.58931,1835.0
MJ02.0791-d_Post_g,0791-d_Post_g,815220.0,854.1467,868.0,9.6427,179765246518.0,106912095330308.0,6.84133563641751e+16,0.541,0.58533,0.62008,1208.0
MJ02.0792-d_Ant_g,0792-d_Ant_g,1013016.0,788.4461,855.0,-0.59131,190913043644.0,105406953304728.0,6.30817393688883e+16,0.50774,0.55011,0.58426,1731.0
MJ02.0792-d_Post_d,0792-d_Post_d,655786.0,726.0739,725.0,-110.6258,99080635699.0,49333229722589.0,2.64670959487367e+16,0.53614,0.58227,0.61823,1143.0
MJ02.0804-d_Ant_d,0804-d_Ant_d,1071099.0,806.5523,878.0,-51.708,207823407044.0,116963994352642.0,7.14790080736879e+16,0.50169,0.54439,0.57889,1828.0
MJ02.0804-d_Post_d,0804-d_Post_d,660174.0,734.9467,732.0,-149.9538,100886015113.0,50675211488277.0,2.74386947746294e+16,0.53404,0.58059,0.61683,1131.0
MJ02.0814-d_Ant_d,0814-d_Ant_d,1172720.0,850.8818,927.0,-22.779,257603546672.0,153595682444886.0,9.93286908684824e+16,0.50559,0.54783,0.58196,1895.0
MJ02.0814-d_Post_d,0814-d_Post_d,755305.0,781.2358,786.0,-125.7784,136687591508.0,73937782265388.0,4.30436618150891e+16,0.54123,0.58635,0.62162,1218.0
MJ02.0815-d_Ant_d,0815-d_Ant_d,1123574.0,837.97,908.0,-50.606,246059600548.0,145442457862522.0,9.2982042615291e+16,0.51539,0.55711,0.5907,1797.0
MJ02.0815-d_Post_d,0815-d_Post_d,763788.0,828.831,837.0,-97.4445,160914607457.0,93219461564851.0,5.8043929960562e+16,0.54839,0.59263,0.62729,1174.0
MJ02.0823-d_Ant_d,0823-d_Ant_d,1158163.0,850.803,932.0,-32.2423,259687725381.0,155731899928531.0,1.01180418728422e+17,0.50807,0.54969,0.58333,1864.0
MJ02.0823-d_Post_d,0823-d_Post_d,759597.0,787.5989,790.0,-130.1823,139322258967.0,75890205534867.0,4.44727126924185e+16,0.54212,0.58736,0.62266,1228.0
MJ02.0824-d_Ant_d,0824-d_Ant_d,1088864.0,796.6103,869.0,-31.5588,210858058937.0,117856608844247.0,7.13571738815191e+16,0.50639,0.54841,0.58223,1818.0
MJ02.0824-d_Post_g,0824-d_Post_g,705499.0,790.078,798.0,-19.1557,136578435219.0,75817179043985.0,4.52837010784449e+16,0.55137,0.59578,0.63075,1143.0
MJ02.0840-d_Ant_g,0840-d_Ant_g,1085455.0,802.8375,867.0,-21.7349,211349188635.0,118590204782301.0,7.202917409469e+16,0.50895,0.55139,0.5854,1798.0
