name,doresal/ventral,anterior/posterior,left/right,sex,sub/family,genus,species,subspecies,name,area,ellipse_axe_2_length,max_axe_2_length,deviation_max_axe_2_from_center,axe_2_moment_2,axe_2_moment_3,axe_2_moment_4,std_axe_2_moment_2,std_axe_2_moment_3,std_axe_2_moment_4
JM00.0001,d,Ant,d,f,Heliconiinae,Heliconius,numata,elegans,JM00.0001-d_Ant_d,892614.0,748.3259,822.0,-12.5148,156330967127.0,82642622857155.0,4.73115510209372e+16,0.50912,0.55035,0.58372
JM00.0018,d,Ant,g,f,Heliconiinae,Heliconius,numata,elegans,JM00.0018-d_Ant_g,963467.0,760.4467,841.0,2.9591,172400946269.0,92399910258465.0,5.36971366809305e+16,0.5029899999999999,0.54427,0.5777399999999999
JM02.0107,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0107-d_Ant_d,982135.0,804.4745,886.0,11.1009,196679648563.0,111642675191401.0,6.88012563528455e+16,0.50508,0.54675,0.5806600000000001
JM02.0107,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0107-d_Ant_g,986287.0,803.7129,888.0,31.2876,197271078904.0,111938650733078.0,6.90002161276785e+16,0.50364,0.54523,0.57916
JM02.0107,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0107-v_Ant_d,987879.0,805.2907,889.0,34.1231,197890668769.0,112439938711065.0,6.94111123643034e+16,0.50345,0.54513,0.57913
JM02.0107,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0107-v_Ant_g,984116.0,805.7439,887.0,18.081,197198148912.0,112035733920228.0,6.9118684235841e+16,0.50467,0.5464,0.58038
JM02.0108,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0108-d_Ant_d,1099676.0,850.5435,932.0,-20.31,240163532805.0,143330621532359.0,9.30722124924606e+16,0.50142,0.54401,0.57873
JM02.0108,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0108-d_Ant_g,1101088.0,853.5465,939.0,-6.0863,244282585505.0,146572320403753.0,9.55892577493495e+16,0.50161,0.54376,0.57807
JM02.0108,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0108-v_Ant_d,1100244.0,852.5786,937.0,-10.5087,243449103279.0,145843807580955.0,9.49420361170872e+16,0.50202,0.5441600000000001,0.57843
JM02.0108,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0108-v_Ant_g,1099807.0,849.9071,932.0,-19.6633,239497633643.0,142759353180497.0,9.258962776844e+16,0.5007,0.54327,0.57796
JM02.0153,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0153-d_Ant_d,978258.0,792.9055,866.0,19.6925,189628820856.0,105809665765272.0,6.3977938820193e+16,0.5084,0.55018,0.58395
JM02.0153,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0153-d_Ant_g,987711.0,780.5066,856.0,13.7026,187937852306.0,103587394770018.0,6.18322630973472e+16,0.50959,0.55092,0.58435
JM02.0153,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0153-v_Ant_d,989435.0,781.5425,858.0,-6.5764,188562867033.0,104029484278331.0,6.2154766821227e+16,0.5088,0.55009,0.58349
JM02.0153,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0153-v_Ant_g,980367.0,793.2705,866.0,-1.376,190121535507.0,106122925696391.0,6.41928535676116e+16,0.50851,0.55033,0.58413
JM02.0156,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0156-d_Ant_d,978946.0,790.056,863.0,11.1947,186784280167.0,103645619264429.0,6.23944123969917e+16,0.50615,0.54818,0.58222
JM02.0156,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0156-d_Ant_g,975820.0,787.3398,866.0,37.1747,189023230054.0,105174395484326.0,6.34108023705383e+16,0.50822,0.5495399999999999,0.58302
JM02.0156,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0156-v_Ant_d,973499.0,787.5757,865.0,17.8313,188855375818.0,105143110116224.0,6.34202947127621e+16,0.5091899999999999,0.55055,0.58406
JM02.0156,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0156-v_Ant_g,979455.0,789.7999,861.0,13.1904,186891776392.0,103702766276574.0,6.24269631789974e+16,0.50734,0.5494600000000001,0.58357
JM02.0377,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0377-d_Ant_d,1063042.0,817.6772,898.0,36.084,215133426161.0,123435842644897.0,7.70109640661002e+16,0.5009600000000001,0.54328,0.57773
JM02.0377,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0377-d_Ant_g,714136.0,564.2176,663.0,88.9929,74197283011.0,29931654488009.0,1.30713730200102e+16,0.48617,0.52393,0.55478
JM02.0377,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0377-v_Ant_d,714783.0,563.7130000000001,660.0,89.5404,74029120127.0,29812661474139.0,1.29910991910008e+16,0.48761000000000004,0.52545,0.55632
JM02.0377,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0377-v_Ant_g,1067485.0,820.934,904.0,15.8518,217460773537.0,125269186915545.0,7.85013630151061e+16,0.49928,0.5415800000000001,0.57605
JM02.0378,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0378-d_Ant_d,1116539.0,835.2734,926.0,63.5764,242155879560.0,143040040794058.0,9.17839492560757e+16,0.50292,0.5444,0.57825
JM02.0378,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0378-d_Ant_g,1106464.0,834.6437,925.0,-7.6142,239131976747.0,141017938106719.0,9.03101624488855e+16,0.50258,0.54405,0.5778399999999999
JM02.0378,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0378-v_Ant_d,1108634.0,836.3579,926.0,-5.4761,240584752056.0,142185307750424.0,9.126819472921e+16,0.50307,0.5446,0.5784600000000001
JM02.0378,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0378-v_Ant_g,1115047.0,834.1205,924.0,54.8185,241448931998.0,142479983409194.0,9.13313554958399e+16,0.50361,0.54511,0.57897
JM02.0382,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0382-d_Ant_d,1098648.0,818.2069,910.0,27.1554,228568587536.0,132124182597570.0,8.29225688124476e+16,0.5012300000000001,0.54242,0.57599
JM02.0382,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0382-d_Ant_g,1083691.0,816.3997,915.0,-4.9808,227129165048.0,131579990354628.0,8.28046909975143e+16,0.50034,0.54118,0.5746
JM02.0382,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0382-v_Ant_d,1084433.0,816.5202,914.0,-5.3439,226761821391.0,131281950136969.0,8.25694740452001e+16,0.50031,0.5412399999999999,0.57472
JM02.0382,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0382-v_Ant_g,1098017.0,817.0824,909.0,30.2584,227318502305.0,131123044515085.0,8.21198828214868e+16,0.50055,0.54174,0.5753
JM02.0383,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0383-d_Ant_d,1249472.0,883.4195,967.0,47.8768,296210518560.0,183757242360510.0,1.23843151780068e+17,0.50351,0.54586,0.58024
