country,city,station,date,time,day,month,year,hour,min,temperature,relative_temperature,wind,wind_dir,wind_gust,rel_humidity,dew_point,pressure,icon,description
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,00:45,1,1,2019,0,45,13,13,4,200,N/A,63,6,1024.0,,Clear
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,01:45,1,1,2019,1,45,12,12,0,Calm,N/A,67,6,1023.0,,Clear
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,02:45,1,1,2019,2,45,10,10,6,80,N/A,67,4,1023.0,,Clear  3-Hour Pressure Decreasing: 0.6 mb
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,05:45,1,1,2019,5,45,8,7,6,50,N/A,66,2,1023.0,,Clear  3-Hour Pressure Decreasing: 0.1 mb
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,06:34,1,1,2019,6,34,6,4,9,60,N/A,76,2,1023.0,,Clear
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,06:48,1,1,2019,6,48,7,6,6,80,N/A,66,1,1023.0,,Clear
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,08:53,1,1,2019,8,53,11,11,7,80,N/A,58,3,1025.0,,"Clear Haze, Smoke"
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,08:54,1,1,2019,8,54,11,11,7,70,N/A,58,3,1025.0,,"Clear Haze, Smoke 3-Hour Pressure Increasing: 1.8 mb"
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,10:04,1,1,2019,10,4,15,15,0,Calm,N/A,48,4,1025.0,,"Clear Haze, Smoke"
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,10:47,1,1,2019,10,47,16,16,7,120,N/A,42,3,1025.0,,"Clear Haze, Smoke"
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,11:22,1,1,2019,11,22,18,18,7,40,N/A,37,3,1025.0,,"Clear Haze, Smoke"
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,11:51,1,1,2019,11,51,19,19,0,Calm,N/A,30,1,1024.0,,Clear  3-Hour Pressure Decreasing: 1.3 mb
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,12:44,1,1,2019,12,44,21,21,0,Calm,N/A,20,-3,1022.0,,Few Clouds at 7000m
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,12:45,1,1,2019,12,45,21,21,0,Calm,N/A,21,-2,1022.0,,Few Clouds at 7000m
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,13:46,1,1,2019,13,46,23,22,7,120,N/A,17,-3,1021.0,,Scattered Clouds at 7000m
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,13:48,1,1,2019,13,48,23,22,7,100,N/A,17,-3,1021.0,,Scattered Clouds at 7000m
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,14:46,1,1,2019,14,46,23,22,7,50,N/A,19,-2,1020.0,,Broken Clouds at 7000m  3-Hour Pressure Decreasing: 3 mb
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,15:45,1,1,2019,15,45,23,22,26,120,N/A,20,-1,1020.0,,Broken Clouds at 7000m
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,16:45,1,1,2019,16,45,22,21,19,120,N/A,23,0,1020.0,,Broken Clouds at 7000m
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,17:45,1,1,2019,17,45,21,21,22,120,N/A,23,-1,1021.0,,Broken Clouds at 7600m  3-Hour Pressure Increasing: 1 mb
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,18:25,1,1,2019,18,25,19,19,28,140,N/A,24,-2,1022.0,,Scattered Clouds at 7600m
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,18:45,1,1,2019,18,45,19,19,22,140,N/A,24,-2,1022.0,,Scattered Clouds at 7600m
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,19:45,1,1,2019,19,45,18,18,11,160,N/A,24,-3,1022.0,,Scattered Clouds at 7600m
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,20:45,1,1,2019,20,45,17,17,6,140,N/A,24,-4,1023.0,,Scattered Clouds at 7600m  3-Hour Pressure Increasing: 1.9 mb
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,22:51,1,1,2019,22,51,13,13,9,70,N/A,51,3,1024.0,,Scattered Clouds at 6100m
mexico,Mexico City,LICENCIADO BENITO J,01-01-2019,23:52,1,1,2019,23,52,13,13,11,120,N/A,63,6,1024.0,,Scattered Clouds at 6100m  3-Hour Pressure Decreasing: 0.3 mb
